SITE_ID,VISIT_NO,DEPTH,TEMPERATURE,OXYGEN,PH,DENSITY,INDEX_SITE_DEPTH
NLA12_IN-142,1.0,0.9,25.78,5.84,7.38,996.872331528,1.4
NLA12_IN-144,1.0,27.5,4.95,0.13,7.16,999.992661338,28.0
NLA12_IN-145,1.0,2.2,21.1,3.6,7.5,998.000409536,2.7
NLA12_IN-146,1.0,7.5,11.3,0.3,7.17,999.602712453,7.9
NLA12_IN-147,1.0,0.6,26.04,5.33,8.07,996.803463995,1.0
NLA12_IN-149,1.0,5.9,23.48,2.34,7.89,997.453575336,6.4
NLA12_IN-155,1.0,8.9,13.65,0.12,6.83,999.321045066,9.4
NLA12_IN-159,1.0,4.0,18.8,1.4,7.3,998.473531611,4.6
NLA12_IN-160,1.0,6.0,15.52,0.5,7.41,999.048632857,6.4
NLA12_IN-162,1.0,3.3,17.5,0.48,6.14,998.715853572,3.8
NLA12_IN-163,1.0,8.5,17.2,0.7,6.8,998.769125663,9.1
NLA12_IN-164,1.0,7.9,7.86,0.48,6.85,999.884838792,8.4
NLA12_IN-166,1.0,1.5,26.93,3.51,8.2,996.562966801,2.0
NLA12_IN-171,1.0,5.5,11.5,0.1,6.5,999.581461502,5.8
NLA12_IN-172,1.0,14.0,9.1,1.05,7.39,999.80170774,14.6
NLA12_IN-174,1.0,11.3,10.73,1.29,6.85,999.660429717,11.8
NLA12_IN-179,1.0,2.6,23.0,8.8,7.8,997.568415787,3.1
NLA12_IN-180,1.0,6.0,22.3,0.36,7.0,997.731799571,6.4
NLA12_IN-183,1.0,0.5,25.15,2.305,7.03,997.036537029,1.1
NLA12_IN-185,1.0,5.0,18.2,0.7,6.9,998.58767255,5.5
NLA12_IN-186,1.0,13.5,5.9,0.98,7.42,999.971340195,14.6
NLA12_IN-187,1.0,6.2,20.52,0.45,7.14,998.124952407,6.7
NLA12_IN-191,1.0,2.0,23.18,1.11,7.56,997.52561657,2.3
NLA12_IN-193,1.0,7.5,24.8,8.3,8.1,997.126184824,8.2
NLA12_IN-196,1.0,9.5,18.2,0.23,7.28,998.58767255,10.0
NLA12_IN-199,1.0,8.0,13.97,0.2,6.9,999.277396445,8.5
NLA12_IN-201,1.0,7.5,11.6,0.1,6.8,999.570642842,8.2
NLA12_IN-202,1.0,1.9,17.9,5.25,6.79,998.643268834,2.4
NLA12_KS-101,1.0,1.3,25.2,8.1,7.6,997.023669827,1.7
NLA12_KS-101,2.0,1.0,27.5,7.6,7.92,996.405111719,1.5
NLA12_KS-102,1.0,5.5,22.6,5.4,7.8,997.662375889,6.0
NLA12_KS-103,1.0,5.0,21.9,3.2,7.2,997.822958964,5.4
NLA12_KS-105,1.0,1.0,24.4,8.1,8.0,997.227171299,1.4
NLA12_KS-106,1.0,2.5,24.5,0.04,6.4,997.202068617,3.0
NLA12_KS-107,1.0,2.0,28.3,8.6,8.9,996.178585955,2.8
NLA12_KS-108,1.0,1.0,22.6,8.4,7.94,997.662375889,1.5
NLA12_KS-109,1.0,3.0,21.3,2.5,7.1,997.956659588,3.9
NLA12_KS-109,2.0,3.0,24.2,0.3,7.0,997.277087685,3.4
NLA12_KS-114,1.0,5.2,20.7,0.4,7.5,998.086673859,5.7
NLA12_KS-121,1.0,1.5,27.6,6.9,8.3,996.377112469,1.9
NLA12_KS-122,1.0,12.5,24.9,0.02,7.6,997.100698921,13.0
NLA12_KS-124,1.0,2.0,24.6,8.0,7.7,997.176869855,2.3
NLA12_KS-125,1.0,15.0,9.8,0.3,7.4,999.745410397,15.0
NLA12_KS-126,1.0,1.0,27.6,6.5,6.7,996.377112469,1.6
NLA12_KS-130,1.0,2.2,24.7,9.39,8.21,997.151575196,2.7
NLA12_KS-138,1.0,4.0,25.0,9.0,8.2,997.075117666,4.6
NLA12_KS-R02,1.0,6.0,22.8,1.2,7.8,997.615594487,
NLA12_KS-R07,1.0,5.0,24.9,4.1,7.9,997.100698921,
NLA12_KS-R08,1.0,4.5,21.2,0.7,7.8,997.978585866,
NLA12_KS-R11,1.0,4.8,24.9,4.9,8.0,997.100698921,
NLA12_KY-101,1.0,24.1,6.0,3.7,6.1,999.968298773,24.6
NLA12_KY-101,2.0,25.1,6.1,3.2,6.1,999.965107267,25.4
NLA12_KY-102,1.0,5.0,15.0,3.3,7.1,999.128548688,5.5
NLA12_KY-103,1.0,7.4,8.0,4.9,6.5,999.876533402,7.8
NLA12_KY-104,1.0,0.5,26.1,4.7,7.2,996.787481772,1.1
NLA12_KY-107,1.0,8.2,12.1,0.5,7.4,999.514631086,8.7
NLA12_KY-107,2.0,3.1,25.2,8.7,7.9,997.023669827,3.6
NLA12_KY-114,1.0,15.5,13.5,1.8,7.4,999.341076575,16.0
NLA12_KY-116,1.0,5.1,25.2,5.7,7.9,997.023669827,5.6
NLA12_KY-117,1.0,4.6,13.2,2.9,7.5,999.380313256,5.1
NLA12_KY-120,1.0,1.1,28.0,6.8,7.5,996.264209672,1.6
NLA12_KY-122,1.0,7.7,10.8,2.1,7.4,999.653570146,8.2
NLA12_LA-101,1.0,3.5,28.7,5.0,8.5,996.063166925,4.0
NLA12_LA-101,2.0,3.3,29.4,8.0,8.2,995.857762713,3.8
NLA12_LA-102,1.0,3.7,29.0,3.8,7.2,995.975667535,4.2
NLA12_LA-103,1.0,2.7,28.0,6.1,6.8,996.264209672,2.4
NLA12_LA-104,1.0,3.0,28.0,6.0,6.6,996.264209672,3.5
NLA12_LA-105,1.0,1.5,28.6,7.3,7.0,996.09215558,2.0
NLA12_LA-106,1.0,2.0,28.9,8.5,7.5,996.00492275,2.5
NLA12_LA-109,1.0,1.1,31.8,10.6,8.3,995.12111138,1.6
NLA12_LA-134,1.0,2.1,28.5,7.0,8.0,996.121055073,2.6
NLA12_LA-134,2.0,2.8,30.1,8.3,7.6,995.64804911,3.3
NLA12_LA-141,1.0,0.5,35.5,13.9,8.9,993.890667777,1.0
NLA12_LA-152,1.0,2.9,27.2,3.6,6.3,996.488563408,3.4
NLA12_LA-154,1.0,0.6,24.5,5.9,6.2,997.202068617,1.1
NLA12_LA-155,1.0,2.5,29.2,8.0,7.7,995.916891614,3.0
NLA12_LA-161,1.0,5.4,22.5,2.6,7.0,997.685617106,5.9
NLA12_LA-172,1.0,0.5,33.4,13.6,8.5,994.602840757,1.0
NLA12_MA-101,1.0,4.1,20.2,0.3,6.3,998.192169726,4.6
NLA12_MA-101,2.0,3.8,19.9,6.0,5.5,998.254211615,4.3
