,NLA12_ID,AreaSqKM,time
719,NLA12_MS-120,0.719196,
720,NLA12_MS-121,0.3942,
721,NLA12_MS-123,0.3852,
722,NLA12_MS-125,0.0981,
723,NLA12_MS-126,11.015614,
724,NLA12_MS-127,0.780936,
725,NLA12_MS-128,0.395721,
726,NLA12_MS-R03,2.39582,
727,NLA12_MT-102,76.499557,
728,NLA12_MT-103,91.424779,
729,NLA12_MT-104,278.155617,
730,NLA12_MT-105,124.038061,
731,NLA12_MT-106,14.1111,
732,NLA12_MT-107,22.539003,
733,NLA12_MT-108,14.2182,
734,NLA12_MT-109,92.064897,
735,NLA12_MT-110,1.618124,
736,NLA12_MT-111,310.053063,
737,NLA12_MT-112,1.3329,
738,NLA12_MT-113,5.702466,
739,NLA12_MT-114,2.924576,
740,NLA12_MT-118,128.457,
741,NLA12_MT-119,2324.673009,
742,NLA12_MT-120,4.406859,
743,NLA12_MT-124,78.742497,
744,NLA12_MT-125,2.239467,
745,NLA12_MT-126,19.7451,
746,NLA12_MT-132,0.2259,
747,NLA12_MT-135,120.757439,
748,NLA12_MT-136,139.986216,
749,NLA12_MT-138,3.721228,
750,NLA12_MT-139,2.784265,
751,NLA12_MT-140,0.994709,
752,NLA12_MT-142,1167.459267,
753,NLA12_MT-143,1.9593,
754,NLA12_MT-144,26.597151,
755,NLA12_MT-148,0.221222,
756,NLA12_MT-151,130.3443,
757,NLA12_MT-152,1.964677,
758,NLA12_MT-154,6.9957,
759,NLA12_MT-155,1.972614,
760,NLA12_MT-156,186.822005,
761,NLA12_MT-160,84.078831,
